@relation tweets

@attribute Text string
@attribute result {RyersonU, TheCatTweeting}

@data
'746106542873677824	2016-06-23 18:23:56	92842008	HRBlockCanada	children automatically qualify additional creditsbenefits',RyersonU
'746106128048623617	2016-06-23 18:22:17	92842008	HRBlockCanada	vous avez des enfants vous pouvez avoir droit automatiquement des avantages additionnels',RyersonU 
'746075978775072768	2016-06-23 16:22:29	92842008	HRBlockCanada	socialextremely hr block blee', RyersonU
'745991565718364161	2016-06-23 10:47:03	92842008	HRBlockCanada	hardeep hr block canada blee',RyersonU
'745248552943747072	2016-06-21 09:34:35	92842008	HRBlockCanada	audimidtown hr block blee',RyersonU
'745235854071894017	2016-06-21 08:44:08	92842008	HRBlockCanada	siempreconbnt hr block blee',RyersonU
'744873024168419328	2016-06-20 08:42:22	92842008	HRBlockCanada	nyfapyvicypo hr block canada blee',RyersonU
'744872659050074112	2016-06-20 08:40:55	92842008	HRBlockCanada	akribeiauk hr block canada blee',RyersonU
'743511519237898240	2016-06-16 14:32:14	92842008	HRBlockCanada	jhonalondon answers tax questions blee',RyersonU
'743424050165350400	2016-06-16 08:44:40	92842008	HRBlockCanada	hicham hr block canada blee',RyersonU
'743423947904028672	2016-06-16 08:44:15	92842008	HRBlockCanada	beatsbylegion hr block canada blee',RyersonU
'743423739472154625	2016-06-16 08:43:26	92842008	HRBlockCanada	vladshark hr block canada blee',RyersonU
'743423439499853826	2016-06-16 08:42:14	92842008	HRBlockCanada	mrcinternation hr block canada blee',
'743423405668577280	2016-06-16 08:42:06	92842008	HRBlockCanada	briannapaulos hr block canada blee',RyersonU
'743063162635722753	2016-06-15 08:50:38	92842008	HRBlockCanada	pennyfarthing hr block canada blee',RyersonU
'743062994033205248	2016-06-15 08:49:57	92842008	HRBlockCanada	maagiimarlaa hr block canada blee',RyersonU
'743062805587197952	2016-06-15 08:49:12	92842008	HRBlockCanada	lizetteppf hr block canada blee',RyersonU
'743062763539308546	2016-06-15 08:49:02	92842008	HRBlockCanada	lacostsaid hr block canada blee',RyersonU
'743061649976745984	2016-06-15 08:44:37	92842008	HRBlockCanada	volunteerguides hr block canada blee',RyersonU
'743061608662867972	2016-06-15 08:44:27	92842008	HRBlockCanada	hr block canada blee',RyersonU
'743061348771368960	2016-06-15 08:43:25	92842008	HRBlockCanada	popcanradio hr block canada blee,'RyersonU
'743061242957422592	2016-06-15 08:43:00	92842008	HRBlockCanada	canuckfanboy hr block canada blee',RyersonU
'742828490404298752	2016-06-14 17:18:07	92842008	HRBlockCanada	offshorecorptal follow sara',RyersonU
'742745500630188032	2016-06-14 11:48:21	92842008	HRBlockCanada	thedville havnt contacted escalate issue hope contacted shortly plz sara',RyersonU
'742338121430339585	2016-06-13 08:49:34	92842008	HRBlockCanada	ufoartist hr block canada blee',RyersonU
'742338049586036736	2016-06-13 08:49:17	92842008	HRBlockCanada	trendhunter hr block canada blee',RyersonU
