	only1nabil	TorontoStar	AcadieSon	ElDiabloZoe	RyersonU	TetraRyerson	sageryerson	sweetiepiecat	mathryerson	TheCatTweeting	CatsRuleNews	AndreasKalo	
aaaaaaaaaaand	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06548453539147643	0.0	0.0733295000655499	0.05617698524120997	0.0	
aaaaaaaaw	0.0	0.0	0.0	0.10895481600800282	0.0	0.0	0.0	0.0723889386019351	0.0	0.0633518833502868	0.059358943340589096	0.0	
aaaaaaaw	0.0	0.0	0.0	0.05447740800400141	0.0	0.0	0.0	0.06941405071418434	0.0	0.06573353310029759	0.04451920750544182	0.0	
aaaaaah	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1142851127214302	0.0	0.11420168042995477	0.09987019598437327	0.0	
aaaaaaw	0.0	0.0	0.0	0.05447740800400141	0.0	0.0	0.0	0.03140159437070244	0.0	0.03096144675014017	0.029679471670294548	0.0	
aaaaah	0.0	0.0	0.0	0.926115936068024	0.0	0.0	0.0	0.9770853995768045	0.0	0.9755237376044164	0.9794225651197199	0.0	
aaaaand	0.10824120789152479	0.09055272774186775	0.1003899608150879	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09739701959721284	
aaaaaw	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028032813869216324	0.0	0.03884303439878608	0.0	0.0	
aaaacccch	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016683958061522656	0.0	0.001803184427841391	0.0062418872490233295	0.0	
aaaah	0.0	0.0	0.0	0.10895481600800282	0.0	0.0	0.0	0.050242550993123906	0.0	0.0557306041502523	0.024732893058578787	0.0	
aaaaw	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.476420501770396E-4	0.0	0.0	0.0	0.0	
aaahhh	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0066735832246090625	0.0	0.007212737711365564	0.0062418872490233295	0.0	
aaapbp	0.36620528418390125	0.3846107962509856	0.3508775329459384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3625333507229589	
aahildayani	0.0	0.0	0.0	0.0	0.12353456613770022	0.0	0.5747847421697951	0.0	0.133335395546989	0.0	0.0	0.0	
aahlkwd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007924880079223262	0.0	0.012021229518942607	0.012483774498046659	0.0	
aaliyah	0.08425962290957022	0.08054426835987183	0.0721248262166651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08425615187377936	
aarms	0.0	0.0	0.0	0.0	0.09070038214517323	0.0	0.0	0.0	0.06186330724498781	0.0	0.0	0.0	
aaron	0.061574339818532074	0.05242526342950238	0.06140356826553921	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.055655439769835904	
aarongordon	0.029814943491078685	0.031931751361605996	0.0331384336671164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.034784649856147445	
aay	0.012314867963706415	0.007148899558568506	0.007797278509909741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01700582881856097	
ab	0.052166742957900955	0.04519507248755865	0.05514518504409806	0.0	0.004901415937434525	0.0	0.0	0.0	0.0	0.0	0.0	0.04866294668960099	
aballinga	0.005185207563665859	0.00810208616637764	0.009746598137387175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004637953314152993	
abandon	0.01145025605626195	0.01323066341459787	0.01844825628294515	0.0	0.020535196203518232	0.0	0.0	0.0	0.010256568888229923	0.0	0.0	0.012192594756560298	
abandoned	0.008903805886987526	0.010054439956893849	0.008129118875955861	0.0	0.0	0.0	0.0	0.002432544793264665	0.0	0.004206509630452699	0.00485373883000393	0.012894233557333691	
abas	0.0	0.0	0.0	0.0	0.035109825346518665	0.0	0.0	0.0	0.030931653622493904	0.0	0.0	0.0	
abbas	0.0	0.0	0.0	0.0	0.10380784222565909	0.14640066552614878	0.0	0.0	0.11965997036268243	0.0	0.0	0.0	
abbeola	0.0	0.0	0.0	0.0	0.02006275734086781	0.0	0.0	0.0	0.030931653622493904	0.0	0.0	0.0	
abbey	0.0038889056727493946	0.007148899558568506	0.0048732990686935875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006956929971229488	
abbott	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015432661206908458	0.0	0.018031844278413908	0.012483774498046659	0.0	
abbottheleme	0.8737074744776973	0.869782779625835	0.8781684921785846	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8765731763749156	
abbreviations	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.390925744080062E-4	0.0	7.768606879757215E-4	0.0	0.0	
abc	0.01620377363645581	0.008578679470282208	0.014619897206080763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010048898847331483	
abcfamily	0.023333434036496365	0.01763395224446898	0.017543876647296917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015459844380509975	
