only1nabil	TorontoStar	AcadieSon	ElDiabloZoe	RyersonU	TetraRyerson	sageryerson	sweetiepiecat	mathryerson	TheCatTweeting	CatsRuleNews	AndreasKalo
0	0	0	0	0	0	0	0.065484535	0	0.0733295	0.056176985	0
0	0	0	0.108954816	0	0	0	0.072388939	0	0.063351883	0.059358943	0
0	0	0	0.054477408	0	0	0	0.069414051	0	0.065733533	0.044519208	0
0	0	0	0	0	0	0	0.114285113	0	0.11420168	0.099870196	0
0	0	0	0.054477408	0	0	0	0.031401594	0	0.030961447	0.029679472	0
0	0	0	0.926115936	0	0	0	0.9770854	0	0.975523738	0.979422565	0
0.108241208	0.090552728	0.100389961	0	0	0	0	0	0	0	0	0.09739702
0	0	0	0	0	0	0	0.028032814	0	0.038843034	0	0
0	0	0	0	0	0	0	0.001668396	0	0.001803184	0.006241887	0
0	0	0	0.108954816	0	0	0	0.050242551	0	0.055730604	0.024732893	0
0	0	0	0	0	0	0	7.48E-04	0	0	0	0
0	0	0	0	0	0	0	0.006673583	0	0.007212738	0.006241887	0
0.366205284	0.384610796	0.350877533	0	0	0	0	0	0	0	0	0.362533351
0	0	0	0	0.123534566	0	0.574784742	0	0.133335396	0	0	0
0	0	0	0	0	0	0	0.00792488	0	0.01202123	0.012483774	0
0.084259623	0.080544268	0.072124826	0	0	0	0	0	0	0	0	0.084256152
0	0	0	0	0.090700382	0	0	0	0.061863307	0	0	0
0.06157434	0.052425263	0.061403568	0	0	0	0	0	0	0	0	0.05565544
0.029814943	0.031931751	0.033138434	0	0	0	0	0	0	0	0	0.03478465
0.012314868	0.0071489	0.007797279	0	0	0	0	0	0	0	0	0.017005829
0.052166743	0.045195072	0.055145185	0	0.004901416	0	0	0	0	0	0	0.048662947
0.005185208	0.008102086	0.009746598	0	0	0	0	0	0	0	0	0.004637953
0.011450256	0.013230663	0.018448256	0	0.020535196	0	0	0	0.010256569	0	0	0.012192595
0.008903806	0.01005444	0.008129119	0	0	0	0	0.002432545	0	0.00420651	0.004853739	0.012894234
0	0	0	0	0.035109825	0	0	0	0.030931654	0	0	0
0	0	0	0	0.103807842	0.146400666	0	0	0.11965997	0	0	0
0	0	0	0	0.020062757	0	0	0	0.030931654	0	0	0
0.003888906	0.0071489	0.004873299	0	0	0	0	0	0	0	0	0.00695693
0	0	0	0	0	0	0	0.015432661	0	0.018031844	0.012483774	0
