sweetiepiecat	TheCatTweeting	only1nabil	CatsRuleNews	AndreasKalo	sageryerson	AcadieSon	mathryerson	TorontoStar	TetraRyerson	ElDiabloZoe	RyersonU
0	0	0	0	0	0	0	0	0.008441349	0	0	0
0	0	0.006190834	0	0.02990791	0	0	0	0.004709309	0	0	0
0.005240909	0	0	0	0	0	0	0	0	0	0	0
0.001461915	0	0	0	0	0	0	0	0.018837237	0	0	0.001560263
0	0	0	0	0	0	0.022077624	0	0.024346776	0	0	0
0	0	0	0	0.009663853	0	0	0	0	0	0	0.00201661
0	0	0.016003073	0	0	0	0	0	0	0	0	0.00201661
0	0	0.006190834	0	0	0	0.008540791	0	0	0	0	0.001560263
0	0	0	0	0	0	0	0	0.018260082	0	0	0.00201661
0.002923829	0	0	0	0.007476978	0	0	0	0.004709309	0	0	0
0	0	0.008001536	0	0.009663853	0	0	0	0	0	0	0
0	0	0.016003073	0	0.009663853	0	0	0	0	0	0	0
0	0	0.008001536	0	0	0	0	0	0.006086694	0	0	0
0	0	0	0	0	0	0.011038812	0	0.024346776	0	0	0
0.001461915	0	0	0	0	0	0	0	0.004709309	0	0	0.001560263
0	0	0.006190834	0	0	0	0	0	0.009418619	0	0	0.001560263
0	0	0	0	0	0	0	0	0	0	0	0.002796742
0	0	0.006190834	0	0	0	0.008540791	0	0.009418619	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0.002796742
0.003778994	0	0	0	0	0	0	0	0.018260082	0	0	0
0	0.010940727	0.006190834	0	0	0	0	0	0.009418619	0	0	0
0	0	0.006190834	0	0	0	0	0.030054064	0	0	0	0.001560263
0	0	0.016003073	0	0.009663853	0	0	0	0	0	0	0
0	0	0.008001536	0	0	0	0	0	0.006086694	0	0	0
0	0.008670321	0.004906119	0	0.005925364	0	0	0	0.007464079	0	0	0
0	0	0.008001536	0	0	0	0	0	0.006086694	0	0	0
0	0	0.008001536	0	0	0	0.011038812	0	0	0	0	0
0	0	0.008001536	0	0	0	0	0	0.006086694	0	0	0
0.00115854	0.017340643	0	0	0	0	0	0	0.007464079	0	0	0.001236479
0.00115854	0	0	0	0	0	0.013536833	0	0.011196118	0	0	0.001236479
0	0	0	0	0	0	0	0	0.016882697	0	0	0
0.001461915	0	0.006190834	0	0	0	0	0	0.009418619	0	0	0
0	0.010940727	0.012381667	0	0	0	0	0	0	0	0	0.001560263
0	0	0.006190834	0	0	0	0	0	0.004709309	0	0	0.001560263
0	0	0.006190834	0	0.007476978	0	0	0	0.009418619	0	0	0
0.001889497	0.014140685	0	0	0	0	0	0	0	0	0	0
0.002620454	0	0	0	0	0	0	0	0	0	0	0
0	0	0.008001536	0	0	0	0	0	0	0	0	0.00201661
0	0	0.008001536	0	0	0	0	0	0.018260082	0	0	0
0	0	0.008001536	0	0.009663853	0	0	0	0	0	0	0
0	0	0.006190834	0	0	0	0.008540791	0	0	0	0	0.003120526
0	0	0	0	0.009663853	0	0	0	0.006086694	0	0	0
0	0	0	0	0	0	0	0	0.008441349	0	0	0
0	0	0	0	0.009663853	0	0	0	0	0	0	0.00201661
0	0	0	0	0	0	0.011038812	0	0	0	0	0.004033221
0	0	0	0	0	0	0	0	0.008441349	0	0	0
0	0	0.006190834	0	0.007476978	0	0	0	0	0	0	0.001560263
0	0	0	0	0	0	0	0	0.016882697	0	0	0
0.005240909	0	0	0	0	0	0	0	0	0	0	0
0.001461915	0	0.006190834	0	0	0	0.008540791	0	0	0	0	0
0	0	0	0	0.038655413	0	0	0	0	0	0	0.00201661
0	0.010940727	0	0	0.014953955	0	0	0	0.014127928	0	0	0
0	0.010940727	0.006190834	0	0.007476978	0	0	0	0	0	0	0
0	0.019611049	0	0	0	0	0	0	0	0	0	0
0.001461915	0	0.018572501	0	0	0	0	0	0.009418619	0	0	0
0.001461915	0	0.006190834	0	0.007476978	0	0	0	0	0	0	0
0	0	0.008001536	0	0	0	0	0	0.006086694	0	0	0
0	0.014140685	0	0	0	0	0	0	0.006086694	0	0	0
0.003778994	0	0	0	0	0	0	0	0	0	0	0.00201661
0	0	0	0	0	0	0	0	0.006086694	0	0	0.00201661
0	0	0.011096953	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0.016882697	0	0	0
0	0	0	0	0.019327706	0	0	0	0	0	0	0.00201661
0	0	0	0	0	0	0.011038812	0	0.006086694	0	0	0
0	0	0	0	0	0	0	0	0.008441349	0	0	0
0.00115854	0	0.004906119	0	0.005925364	0	0	0	0	0	0	0.001236479
0	0	0.012381667	0	0	0	0	0.030054064	0	0	0	0.003120526
0	0.019611049	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.009663853	0	0.011038812	0	0	0	0	0
0	0	0.012381667	0	0.007476978	0	0	0	0	0	0	0.003120526
0	0.010940727	0	0	0.007476978	0	0	0	0.009418619	0	0	0
0.001889497	0	0	0	0	0	0.022077624	0	0	0	0	0
0	0	0.006190834	0	0	0	0	0	0.009418619	0	0	0.003120526
0	0	0	0	0	0	0	0.053871345	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0.002796742
0.005240909	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0.008390226
0.00115854	0.008670321	0.004906119	0	0.005925364	0	0	0	0	0	0	0
0	0	0	0	0	0	0.011038812	0	0	0	0	0.00201661
0	0	0	0	0.009663853	0	0	0	0.018260082	0	0	0
0	0.014140685	0.008001536	0	0	0	0	0	0	0	0	0
0	0.039222098	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.011038812	0	0	0	0	0.00201661
0.001461915	0.010940727	0.006190834	0	0	0	0	0	0	0	0	0
0	0.010940727	0.006190834	0	0	0	0	0	0.004709309	0	0	0
0.00115854	0.008670321	0.004906119	0	0.005925364	0	0	0	0	0	0	0
0.001461915	0	0.006190834	0	0	0	0	0	0.009418619	0	0	0
0.00231708	0	0.004906119	0	0.005925364	0	0	0	0.003732039	0	0	0
0.001461915	0	0.012381667	0	0	0	0	0	0.004709309	0	0	0
0	0	0	0	0.007476978	0	0	0	0.004709309	0	0	0.004680789
0.001889497	0	0.008001536	0	0	0	0	0	0	0	0	0
0	0	0.011096953	0	0	0	0	0	0	0	0	0
0	0	0.008001536	0	0	0	0	0	0.006086694	0	0	0
0	0	0.033290859	0	0	0	0	0	0	0	0	0
0	0	0.008001536	0	0.019327706	0	0	0	0	0	0	0
0	0	0	0	0.013402342	0	0	0	0	0	0	0
0	0.008670321	0.004906119	0	0	0	0.006768417	0	0.003732039	0	0	0
0	0	0.008001536	0	0	0	0	0	0.006086694	0	0	0
0	0.008670321	0.014718358	0	0	0	0	0	0.007464079	0	0	0.001236479
0	0	0	0	0.013402342	0	0	0	0	0	0	0
0	0	0	0	0.009663853	0	0	0	0	0	0	0.00201661
0	0	0	0	0	0	0.015309207	0	0	0	0	0
0.001461915	0	0.006190834	0	0	0	0	0	0	0	0	0.001560263
0	0.019611049	0	0	0	0	0	0	0	0	0	0
0	0	0.006190834	0	0	0	0.008540791	0	0.009418619	0	0	0
