	TorontoStar	only1nabil	AcadieSon	AndreasKalo	RyersonU	sageryerson	TetraRyerson	mathryerson	CatsRuleNews	TheCatTweeting	sweetiepiecat	ElDiabloZoe	
aaaaand	0.0010038570401371013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
aaapbp	0.0	0.0	0.007361480551895291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
aaliyah	0.0	0.0052929083454719235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
aaron	0.0	0.010585816690943847	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
aarongordon	0.0	0.0	0.0	0.004699599112362139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
aay	0.0010038570401371013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
ab	0.0	0.0052929083454719235	0.0	0.0	0.001856567152681522	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
aballinga	0.0030115711204113035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
abandon	0.0	0.0	0.007361480551895291	0.0	0.003713134305363044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
abandoned	0.004015428160548405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0090738781157824	0.0	
abbey	0.004015428160548405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
abbottheleme	0.0	0.0	0.0	0.1409879733708642	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
abc	0.0	0.0052929083454719235	0.007361480551895291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
abcfamily	0.0	0.0052929083454719235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
abcnetwork	0.0	0.0052929083454719235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
abcnews	0.0	0.0	0.014722961103790582	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
abdeslam	0.0010038570401371013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
abduct	0.0	0.0	0.007361480551895291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
abducted	0.0010038570401371013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
abduction	0.0010038570401371013	0.0	0.0036807402759476454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
abe	0.0	0.0	0.014722961103790582	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
abel	0.0010038570401371013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
abennnny	0.0	0.0052929083454719235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
abercrombie	0.0	0.0052929083454719235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
abhorrent	0.0010038570401371013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
ability	6.249574733579465E-4	0.0021967554436167895	0.0	0.001950509863207856	0.0	0.0	0.0	0.0	0.0	0.0	0.0045369390578912	0.0	
abin	0.0	0.0	0.0	0.004699599112362139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
aboard	0.0015057855602056518	0.0	0.0036807402759476454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
abolishing	0.0	0.0052929083454719235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
aboriginal	0.0014582341045018751	0.0010983777218083947	0.0	9.75254931603928E-4	0.014852537221452177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
aboriginalthemed	0.0020077140802742025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
abort	0.0010038570401371013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
aborted	0.0	0.0052929083454719235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
abortion	0.0010038570401371013	0.0	0.007361480551895291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
