	jtimberlake	rbruch2010	vintagedrakgon	ProwrestlingNe5	
aaah	0.004248689125500569	0.0	0.0	0.0	
aaaw	0.004248689125500569	0.0	0.0	0.0	
aadvantage	0.0014162297085001897	0.0	0.0	0.0	
aaron	0.0014162297085001897	0.0	0.0	0.0	
aaroncamper	0.0014162297085001897	0.0	0.0	0.0	
aaronpaul	0.005664918834000759	0.0	0.0	0.0	
aaronrodgers	0.0028324594170003794	0.0	0.0	0.0	
abbvie	0.0	0.050032544098567694	0.0	0.0	
abby	0.0014162297085001897	0.0	0.0	0.0	
abbywambach	0.0014162297085001897	0.0	0.0	0.0	
abc	0.004248689125500569	0.0	0.0	0.0	
abcnetwork	0.0028324594170003794	0.0	0.0	0.0	
abelxo	0.0014162297085001897	0.0	0.0	0.0	
aboutlastnight	0.0014162297085001897	0.0	0.0	0.0	
abroad	0.0	0.050032544098567694	0.0	0.0	
absentee	0.0	0.050032544098567694	0.0	0.0	
absolutely	0.004248689125500569	0.0	0.0	0.0	
abu	0.0028324594170003794	0.0	0.0	0.0	
ac	0.0014162297085001897	0.0	0.0	0.0	
acc	0.0014162297085001897	0.0	0.0	0.0	
accent	0.0014162297085001897	0.0	0.0	0.0	
accepted	0.004248689125500569	0.0	0.0	0.0	
accepting	0.0014162297085001897	0.0	0.0	0.0	
access	0.0014162297085001897	0.0	0.0	0.0	
accgolf	0.004248689125500569	0.0	0.0	0.0	
acchampionship	0.012746067376501708	0.0	0.0	0.0	
account	0.0014162297085001897	0.0	0.0	0.0	
ace	0.0	0.050032544098567694	0.0	0.0	
aced	0.0014162297085001897	0.0	0.0	0.0	
achievement	0.0014162297085001897	0.0	0.0	0.0	
acknowledged	0.0014162297085001897	0.0	0.0	0.0	
acorona	0.0014162297085001897	0.0	0.0	0.0	
acoustic	0.0028324594170003794	0.0	0.0	0.0	
acousticsmelody	0.0014162297085001897	0.0	0.0	0.0	
acquaintance	0.0	0.0	0.09044975269713924	0.0	
acting	0.004248689125500569	0.0	0.0	0.0	
action	0.0028324594170003794	0.0	0.0	0.0	
actor	0.005664918834000759	0.0	0.0	0.0	
actors	0.0014162297085001897	0.0	0.0	0.0	
actress	0.0014162297085001897	0.0	0.0	0.0	
actual	0.0028324594170003794	0.0	0.0	0.0	
ad	0.0	0.050032544098567694	0.0	0.0	
adage	0.0	0.050032544098567694	0.0	0.0	
adam	0.0014162297085001897	0.0	0.0	0.0	
adamblackstone	0.0014162297085001897	0.0	0.0	0.0	
adamlevine	0.0014162297085001897	0.0	0.0	0.0	
adams	0.0014162297085001897	0.0	0.0	0.0	
adanicole	0.0014162297085001897	0.0	0.0	0.0	
additional	0.0014162297085001897	0.0	0.0	0.0	
adelaide	0.0028324594170003794	0.0	0.0	0.0	
adept	0.0	0.050032544098567694	0.0	0.0	
admiration	0.0014162297085001897	0.0	0.0	0.0	
admire	0.0014162297085001897	0.0	0.0	0.0	
admit	0.004248689125500569	0.0	0.0	0.0	
adult	0.004248689125500569	0.0	0.0	0.0	
adultapproved	0.0014162297085001897	0.0	0.0	0.0	
advancing	0.0014162297085001897	0.0	0.0	0.0	
adventures	0.0028324594170003794	0.0	0.0	0.0	
adversity	0.0014162297085001897	0.0	0.0	0.0	
advertising	0.0	0.10006508819713539	0.0	0.0	
advice	7.081148542500948E-4	0.025016272049283847	0.0	0.0	
aerobic	0.0014162297085001897	0.0	0.0	0.0	
afford	0.0014162297085001897	0.0	0.0	0.0	
afterparty	0.0028324594170003794	0.0	0.0	0.0	
agapimalik	0.0014162297085001897	0.0	0.0	0.0	
agaveseth	0.0014162297085001897	0.0	0.0	0.0	
age	0.0	0.050032544098567694	0.0	0.0	
ages	0.0014162297085001897	0.0	0.0	0.0	
aggressive	0.0014162297085001897	0.0	0.0	0.0	
ago	0.0028324594170003794	0.0	0.0	0.0	
agree	0.0028324594170003794	0.0	0.0	0.0	
agreed	0.0028324594170003794	0.0	0.0	0.0	
ahead	0.0014162297085001897	0.0	0.0	0.0	
ahhhhhh	0.0014162297085001897	0.0	0.0	0.0	
ahlers	0.0014162297085001897	0.0	0.0	0.0	
ai	0.0014162297085001897	0.0	0.0	0.0	
aid	0.0014162297085001897	0.0	0.0	0.0	
aileencavazos	0.0014162297085001897	0.0	0.0	0.0	
ainemaher	0.0014162297085001897	0.0	0.0	0.0	
aint	0.015578526793502087	0.0	0.0	0.0	
air	0.004248689125500569	0.0	0.0	0.0	
aj	0.0014162297085001897	0.0	0.0	0.0	
ajharpold	0.0028324594170003794	0.0	0.0	0.0	
aka	0.0070811485425009485	0.0	0.0	0.0	
akelly	0.0014162297085001897	0.0	0.0	0.0	
alabamashakes	0.004248689125500569	0.0	0.0	0.0	
albany	0.0014162297085001897	0.0	0.0	0.0	
album	0.05098426950600683	0.0	0.0	0.0	
albumcover	0.0014162297085001897	0.0	0.0	0.0	
albums	0.004248689125500569	0.0	0.0	0.0	
alert	0.0070811485425009485	0.0	0.0	0.0	
alex	0.0	0.050032544098567694	0.0	0.0	
alfonsoribeiro	0.0014162297085001897	0.0	0.0	0.0	
ali	0.0014162297085001897	0.0	0.0	0.0	
alicia	0.0014162297085001897	0.0	0.0	0.0	
aliciakeys	0.0028324594170003794	0.0	0.0	0.0	
aliheardkelly	0.0014162297085001897	0.0	0.0	0.0	
alilrespect	0.0014162297085001897	0.0	0.0	0.0	
alisaapps	0.0014162297085001897	0.0	0.0	0.0	
alive	0.0014162297085001897	0.0	0.0	0.0	
alizimmer	0.0014162297085001897	0.0	0.0	0.0	
allaround	0.0014162297085001897	0.0	0.0	0.0	
allday	0.0014162297085001897	0.0	0.0	0.0	
alldaylong	0.0014162297085001897	0.0	0.0	0.0	
allergies	0.0014162297085001897	0.0	0.0	0.0	
allheart	0.0014162297085001897	0.0	0.0	0.0	
alli	0.0014162297085001897	0.0	0.0	0.0	
alliechatte	0.0014162297085001897	0.0	0.0	0.0	
alliheathe	0.0014162297085001897	0.0	0.0	0.0	
allisoncarries	0.0014162297085001897	0.0	0.0	0.0	
allisond	0.0014162297085001897	0.0	0.0	0.0	
allonsy	0.0014162297085001897	0.0	0.0	0.0	
allowing	0.0014162297085001897	0.0	0.0	0.0	
almichaelsshakeyabooty	0.0014162297085001897	0.0	0.0	0.0	
aloveeeeee	0.0014162297085001897	0.0	0.0	0.0	
alright	0.005664918834000759	0.0	0.0	0.0	
alsicebucketchallenge	0.004248689125500569	0.0	0.0	0.0	
alsublet	0.0014162297085001897	0.0	0.0	0.0	
altonsterling	0.0028324594170003794	0.0	0.0	0.0	
alwayshopeinri	0.0014162297085001897	0.0	0.0	0.0	
aly	0.0014162297085001897	0.0	0.0	0.0	
alyssaedoo	0.0014162297085001897	0.0	0.0	0.0	
amanda	0.0014162297085001897	0.0	0.0	0.0	
amandahewgley	0.0014162297085001897	0.0	0.0	0.0	
amandasanford	0.0014162297085001897	0.0	0.0	0.0	
amardeepx	0.0014162297085001897	0.0	0.0	0.0	
amas	0.021243445627502845	0.0	0.0	0.0	
amasyou	0.0014162297085001897	0.0	0.0	0.0	
amaze	0.0028324594170003794	0.0	0.0	0.0	
amazing	0.0276164793157537	0.050032544098567694	0.0	0.0	
amazingly	0.0028324594170003794	0.0	0.0	0.0	
amazonmp	0.004248689125500569	0.0	0.0	0.0	
amazonmusic	0.009913607959501329	0.0	0.0	0.0	
ambassador	0.0014162297085001897	0.0	0.0	0.0	
amberharvx	0.0014162297085001897	0.0	0.0	0.0	
amberosiexo	0.0014162297085001897	0.0	0.0	0.0	
amelia	0.0014162297085001897	0.0	0.0	0.0	
amen	0.004248689125500569	0.0	0.0	0.0	
america	0.0070811485425009485	0.0	0.0	0.0	
american	0.0028324594170003794	0.0	0.0	0.0	
americanexpress	0.0014162297085001897	0.0	0.0	0.0	
americans	0.0028324594170003794	0.0	0.0	0.0	
americathe	0.0014162297085001897	0.0	0.0	0.0	
amigo	0.0014162297085001897	0.0	0.0	0.0	
amigos	0.0014162297085001897	0.0	0.0	0.0	
amirah	0.0014162297085001897	0.0	0.0	0.0	
amlyrics	0.0014162297085001897	0.0	0.0	0.0	
amonies	0.0014162297085001897	0.0	0.0	0.0	
amp	0.0014162297085001897	0.0	0.0	0.0	
amy	0.005664918834000759	0.0	0.0	0.0	
amyrichburg	0.0014162297085001897	0.0	0.0	0.0	
anaheim	0.0014162297085001897	0.0	0.0	0.0	
andrea	0.0014162297085001897	0.0	0.0	0.0	
andreamandell	0.0014162297085001897	0.0	0.0	0.0	
andretaylorjr	0.0014162297085001897	0.0	0.0	0.0	
angeles	0.0070811485425009485	0.0	0.0	0.0	
angels	0.0014162297085001897	0.0	0.0	0.0	
angryalligator	0.0014162297085001897	0.0	0.0	0.0	
anna	7.081148542500948E-4	0.0	0.04522487634856962	0.0	
annaaleisha	0.0014162297085001897	0.0	0.0	0.0	
annakendrick	0.024075905044503226	0.0	0.0	0.0	
annarenshaw	0.0014162297085001897	0.0	0.0	0.0	
annie	0.0014162297085001897	0.0	0.0	0.0	
