	Nounnno	styleofthesix	AHKru	shawnaoh_	RyersonU	Simon_Pella	RowanMMolloy	MacSweeneyG	SallySan_x	ATMXO_	
abroad	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
abt	0.0	0.0	0.0	0.15656335997726192	0.0	0.0	0.0	0.0	0.0	0.017993058568447896	
abuzz	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
academics	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
accept	0.0	0.0	0.0	0.0	0.0	0.0	0.07083470029648137	0.0	0.0	0.0	
accident	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
achievement	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
action	0.0	0.0	0.0	0.0	0.05215228971503537	0.0	0.0	0.0	0.0	0.0	
actranat	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
add	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
address	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
advise	0.0	0.0	0.0	0.0	0.03476819314335691	0.0	0.0	0.0	0.0	0.0	
afraid	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
afterthought	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
age	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
ago	0.0	0.0	0.0	0.0	0.0	0.0903849586444424	0.0	0.0	0.0	0.05397917570534369	
ahead	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
ahhhhhhhh	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
al	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07458281817882327	0.0	0.0	
albion	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
alert	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
alexboutilier	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07458281817882327	0.0	0.0	
alexncotrufo	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
allowed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
alumni	0.0	0.0	0.0	0.0	0.03476819314335691	0.0	0.0	0.0	0.0	0.0	
alyssapersaud	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07722674130576004	
amazing	0.0	0.0	0.0	0.0	0.024301924112167715	0.0	0.0	0.0	0.0	0.03598611713689579	
amber	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
amendment	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07458281817882327	0.0	0.0	
animal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025742247101920013	
ann	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
annual	0.0	0.0	0.0	0.0	0.017384096571678456	0.0	0.0	0.0	0.0	0.0	
answer	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07458281817882327	0.0	0.0	
